0.0, 4, White, Entry
0.0, 4, White, Exit
0.0, 2, White, Entry
0.03298605332356955, 2, White, Exit
0.03298605332356955, 4, White, Entry
0.03298605332356955, 4, White, Exit
0.03298605332356955, 2, White, Entry
0.0659721066471391, 2, White, Exit
0.0659721066471391, 4, White, Entry
0.0659721066471391, 4, White, Exit
0.0659721066471391, 2, White, Entry
0.09899144559464766, 2, White, Exit
0.09899144559464766, 4, White, Entry
0.09899144559464766, 4, White, Exit
0.09899144559464766, 2, White, Entry
0.13297606763638783, 2, White, Exit
0.13297606763638783, 4, White, Entry
0.13297606763638783, 4, White, Exit
0.13297606763638783, 2, White, Entry
0.1659954065838964, 2, White, Exit
0.1659954065838964, 4, White, Entry
0.1659954065838964, 4, White, Exit
0.1659954065838964, 2, White, Entry
0.19898145990746594, 2, White, Exit
0.19898145990746594, 4, White, Entry
0.19898145990746594, 4, White, Exit
0.19898145990746594, 2, White, Entry
0.23196751323103545, 2, White, Exit
0.23196751323103545, 4, White, Entry
0.23196751323103545, 4, White, Exit
0.23196751323103545, 2, White, Entry
0.2659854208967147, 2, White, Exit
0.2659854208967147, 4, White, Entry
0.2659854208967147, 4, White, Exit
0.2659854208967147, 2, White, Entry
0.2989714742202842, 2, White, Exit
0.2989714742202842, 4, White, Entry
0.2989714742202842, 4, White, Exit
0.2989714742202842, 2, White, Entry
0.3319908131677928, 2, White, Exit
0.3319908131677928, 4, White, Entry
0.3319908131677928, 4, White, Exit
0.3319908131677928, 2, White, Entry
0.36597543520953296, 2, White, Exit
0.36597543520953296, 4, White, Entry
0.36597543520953296, 4, White, Exit
0.36597543520953296, 2, White, Entry
0.39899477415704154, 4, Red, Entry
0.39899477415704154, 2, White, Exit
0.39899477415704154, 4, White, Entry
0.39899477415704154, 4, White, Exit
0.39899477415704154, 2, White, Entry
0.43198082748061106, 2, White, Exit
0.43198082748061106, 4, White, Entry
0.43198082748061106, 4, White, Exit
0.43198082748061106, 2, White, Entry
0.46496688080418064, 2, White, Exit
0.46496688080418064, 4, White, Entry
0.46496688080418064, 4, White, Exit
0.46496688080418064, 2, White, Entry
0.49898478846985983, 2, White, Exit
0.49898478846985983, 4, White, Entry
0.49898478846985983, 4, White, Exit
0.49898478846985983, 2, White, Entry
0.5319708417934293, 2, White, Exit
0.5319708417934293, 4, White, Entry
0.5319708417934293, 4, White, Exit
0.5319708417934293, 2, White, Entry
0.564990180740938, 2, White, Exit
0.564990180740938, 4, White, Entry
0.564990180740938, 4, White, Exit
0.564990180740938, 2, White, Entry
0.5989748027826781, 4, Red, Exit
0.5989748027826781, 2, Red, Entry
0.5989748027826781, 2, White, Exit
0.5989748027826781, 4, White, Entry
0.5989748027826781, 4, White, Exit
0.5989748027826781, 2, White, Entry
0.6319941417301866, 2, White, Exit
0.6319941417301866, 4, White, Entry
0.6319941417301866, 4, White, Exit
0.6319941417301866, 2, White, Entry
0.6649801950537562, 2, White, Exit
0.6649801950537562, 4, White, Entry
0.6649801950537562, 4, White, Exit
0.6649801950537562, 2, White, Entry
0.6979995340012648, 2, White, Exit
0.6979995340012648, 4, White, Entry
0.6979995340012648, 4, White, Exit
0.6979995340012648, 2, White, Entry
0.731984156043005, 2, White, Exit
0.731984156043005, 4, White, Entry
0.731984156043005, 4, White, Exit
0.731984156043005, 2, White, Entry
0.7649702093665744, 2, White, Exit
0.7649702093665744, 4, White, Entry
0.7649702093665744, 4, White, Exit
0.7649702093665744, 2, White, Entry
0.7979895483140831, 2, White, Exit
0.7979895483140831, 4, White, Entry
0.7979895483140831, 4, White, Exit
0.7979895483140831, 2, White, Entry
0.8319741703558232, 2, White, Exit
0.8319741703558232, 4, White, Entry
0.8319741703558232, 4, White, Exit
0.8319741703558232, 2, White, Entry
0.8649935093033319, 2, White, Exit
0.8649935093033319, 4, White, Entry
0.8649935093033319, 4, White, Exit
0.8649935093033319, 2, White, Entry
0.8979795626269014, 2, White, Exit
0.8979795626269014, 4, White, Entry
0.8979795626269014, 4, White, Exit
0.8979795626269014, 2, White, Entry
0.9319974702925805, 2, White, Exit
0.9319974702925805, 4, White, Entry
0.9319974702925805, 4, White, Exit
0.9319974702925805, 2, White, Entry
0.9649835236161501, 2, White, Exit
0.9649835236161501, 4, White, Entry
0.9649835236161501, 4, White, Exit
